frame_number,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
32,5.0,[1105.3737138044648 648.5920457772424 1434.2068960794663 977.2204649662517],[1223.3236083984375 871.544677734375 1319.70556640625 919.1240844726562],0.6144137382507324,WI51VSU,0.19104178887784234
32,3.0,[315.89746320170923 789.2758876443954 685.0544560447398 1078.6027466313765],[436.5439758300781 1016.514404296875 560.9945068359375 1070.069091796875],0.5208420753479004,NA13NRU,0.3376403433980963
32,6.0,[582.4633696143493 552.5377602862044 859.2981737664619 778.1795581753398],[676.8837890625 683.0553588867188 765.9114990234375 726.11572265625],0.3635554909706116,GX15OGJ,0.29342056380593706
33,3.0,[311.1074258731098 792.7757419866043 682.685302940079 1078.1199839566623],[437.7541198730469 1022.4027099609375 546.2867431640625 1072.6171875],0.5101441740989685,NA13NRU,0.5312770417784406
33,6.0,[580.1494707409845 555.8346059553234 856.5636619944642 780.9098635575502],[673.6842651367188 683.6473388671875 766.0098266601562 727.9715576171875],0.3824484944343567,GX15OGJ,0.18665372427877705
34,3.0,[307.78793579682565 795.2346315308231 681.6309405505737 1077.55848328873],[428.15802001953125 1025.9542236328125 549.68994140625 1076.43798828125],0.5836156606674194,NA13NRU,0.2768734783396093
34,6.0,[578.7019850165104 556.7460336473135 856.7835178736495 782.442671891081],[675.5106811523438 685.8140869140625 768.331298828125 731.4708251953125],0.4528226852416992,GX15OGJ,0.23930725752522472
35,3.0,[302.94787117150787 800.1363118385393 678.8280065461443 1078.3548909369927],[441.03955078125 1035.3868408203125 544.8978881835938 1078.0350341796875],0.46196505427360535,NA13NRU,0.7322002174476719
35,6.0,[578.891766464177 558.6897752899633 858.3880700058855 784.6573502018609],[675.53076171875 690.7568359375 763.4505615234375 733.3338012695312],0.4272677004337311,GX15OGJ,0.3333430871388643
36,6.0,[577.6197579235746 560.5543056387148 860.0894356989498 786.9713890024227],[675.0553588867188 692.9259033203125 763.062744140625 736.791748046875],0.49794769287109375,GR15OGJ,0.1445687678250463
37,6.0,[574.4087562776525 561.6184937749805 859.9221735704426 787.973432776843],[673.5322875976562 695.67626953125 753.9371948242188 736.1590576171875],0.4453793466091156,GI15OGJ,0.11591699959494726
38,6.0,[571.9504319223199 564.0262890799875 859.4225960583185 789.7369674599042],[672.1885986328125 698.5758056640625 747.9926147460938 736.5745849609375],0.4700026512145996,GX15OGJ,0.3786057695311504
39,6.0,[570.6512534720811 566.4034752513621 859.1992504528588 792.2549227253221],[673.4921264648438 700.45703125 760.6358642578125 743.3610229492188],0.5032510161399841,GX15OGJ,0.2526581880676533
41,6.0,[567.5299308277247 568.9206028297218 858.0420705980434 796.1158926433726],[666.7207641601562 706.3304443359375 751.526611328125 746.4730224609375],0.43433716893196106,GX15OGJ,0.3864015654230367
42,6.0,[567.2877411759582 570.7307753774971 857.3043151643772 798.5640959842981],[666.7821044921875 707.00244140625 758.85498046875 752.5259399414062],0.4750599265098572,GX15OGJ,0.4333151372140612
43,6.0,[566.5122954809608 572.1732301686881 856.3303279647521 800.7312774053145],[664.7367553710938 710.0610961914062 753.4293823242188 754.1821899414062],0.4371615946292877,GX15OGJ,0.4653377000181256
44,6.0,[565.2254528128547 574.3408078621362 854.8632530795526 804.0468403508403],[660.8152465820312 709.953369140625 749.8740844726562 755.140869140625],0.48193472623825073,GX15OGJ,0.35264252754748504
45,6.0,[562.7213718523437 576.3668703212688 853.5000376577193 807.1920297336026],[663.330322265625 714.4974975585938 742.8275756835938 755.4305419921875],0.4143981635570526,GX15OGJ,0.43840286317229277
46,5.0,[1110.4322822644783 690.338303310203 1454.766277192826 1033.6366480010756],[1236.037353515625 922.3383178710938 1334.7158203125 971.0227661132812],0.6048151254653931,HJ51VSU,0.15441528423032158
46,6.0,[561.1444247298934 578.6833136648636 853.2396445749184 810.2350127940642],[664.6566162109375 716.6354370117188 742.1184692382812 757.7286987304688],0.49327552318573,GX15OGJ,0.2859996740414779
